symbol,type,entry_date,exit_date,entry_price,exit_price,shares,profit,exit_reason
AAPL,long,2025-04-08,2025-04-13,198.85,202.52,25,91.75,Gap out L
ZYME,long,2025-02-12,2025-03-03,14.3,12.74,350,-546.0,Hard Stop S
NVDA,short,2025-06-20,2025-06-30,143.85,157.99,35,-494.9,L 2 S
AAPL,long,2025-04-09,2025-04-14,198.85,202.52,25,91.75,Gap out L
AMZN,long,2025-03-11,2025-03-25,196.59,205.71,25,228.0,BE L
AMZN,short,2025-05-14,2025-05-21,210.25,201.12,24,219.12,BE S
GOOG,long,2025-04-09,2025-05-07,161.06,152.8,31,-256.06,S 2 L
GOOG,short,2025-05-07,2025-05-16,152.8,167.43,65,-950.95,L 2 S
GOOG,long,2025-05-16,2025-05-27,167.43,173.98,60,393.0,BE L
GOOG,short,2025-06-18,2025-06-20,173.98,167.73,29,181.25,BE S
GOOGL,long,2025-04-09,2025-05-07,158.71,151.38,32,-234.56,S 2 L
GOOGL,short,2025-05-07,2025-05-16,151.38,166.19,66,-977.46,L 2 S
GOOGL,long,2025-05-16,2025-05-27,166.19,172.9,60,402.6,BE L
GOOGL,short,2025-06-18,2025-06-20,173.32,166.64,29,193.72,BE S
META,long,2025-04-07,2025-04-09,516.25,585.77,10,695.2,BE L
AVGO,long,2025-04-07,2025-04-09,154.14,185.15,32,992.32,BE L
BRK.B,short,2025-02-20,2025-03-26,481.8,533.21,10,-514.1,Hard Stop L
TSLA,long,2025-02-04,2025-02-10,392.21,350.73,13,-539.24,Hard Stop S
TSLA,long,2025-02-28,2025-03-06,292.98,263.45,17,-502.01,Hard Stop S
WMT,short,2025-02-07,2025-02-20,101.15,97.21,49,193.06,Gap out S
V,long,2025-03-14,2025-03-24,331.8,343.87,15,181.05,BE L
V,long,2025-04-09,2025-05-15,332.43,362.3,15,448.05,BE L
V,long,2025-06-23,2025-06-30,343.75,355.05,15,169.5,BE L
MA,long,2025-04-09,2025-05-02,515.43,559.39,10,439.6,BE L
ORCL,long,2025-04-09,2025-04-21,139.69,122.82,36,-607.32,Hard Stop S
XOM,long,2025-04-09,2025-05-05,105.8,103.27,47,-118.91,S 2 L
XOM,short,2025-05-05,2025-06-03,103.27,103.8,97,-51.41,L 2 S
XOM,long,2025-06-03,2025-06-10,103.8,107.22,96,328.32,BE L
XOM,short,2025-06-23,2025-06-24,111.74,108.34,45,153.0,BE S
PG,short,2025-03-04,2025-03-12,173.18,168.37,29,139.49,BE S
PG,long,2025-04-09,2025-04-17,162.32,170.63,31,257.61,BE L
PG,long,2025-05-12,2025-05-19,160.9,164.77,31,119.97,BE L
PG,short,2025-06-04,2025-06-05,165.95,162.8,30,94.5,BE S
JNJ,short,2025-02-06,2025-03-27,153.51,163.13,33,-317.46,L 2 S
JNJ,long,2025-03-27,2025-03-31,163.13,165.84,61,165.31,BE L
HD,long,2025-03-05,2025-03-13,386.35,347.25,13,-508.3,S 2 L
HD,long,2025-04-09,2025-05-12,355.39,376.59,14,296.8,Target L
HD,short,2025-05-13,2025-05-23,373.6,362.71,13,141.57,BE S
BAC,short,2025-02-07,2025-02-12,47.4,46.21,105,124.95,BE S
BAC,short,2025-06-11,2025-06-25,44.73,46.85,112,-237.44,L 2 S
BAC,long,2025-06-25,2025-06-27,46.85,47.12,213,57.51,Target L
ABBV,short,2025-02-07,2025-03-03,190.6,211.48,26,-542.88,Hard Stop L
ABBV,short,2025-03-04,2025-04-04,207.76,186.96,24,499.2,BE S
PM,short,2025-06-04,2025-06-17,180.66,183.46,28,-78.4,L 2 S
PM,long,2025-06-17,2025-07-01,183.46,177.53,55,-326.15,S 2 L
TMUS,long,2025-04-09,2025-04-25,254.9,232.77,20,-442.6,S 2 L
TMUS,short,2025-04-25,2025-05-21,232.77,240.76,43,-343.57,L 2 S
TMUS,long,2025-05-21,2025-06-12,240.76,228.7,42,-506.52,S 2 L
TMUS,short,2025-06-12,2025-06-17,228.7,221.43,44,319.88,Target S
UNH,long,2025-02-25,2025-03-17,470.38,499.02,11,315.04,BE L
GE,short,2025-03-26,2025-03-28,207.37,199.88,24,179.76,BE S
CRM,long,2025-03-05,2025-03-13,291.97,271.74,17,-343.91,S 2 L
